http://www.realestate3d.com/gps/uslatlongdegmin.htm
[OME] 64.50 165.43 	64 30 0 	165 25 47 	Nome,AK
[ORT] 62.97 141.93 	62 58 12 	141 55 47 	Northway,AK
[OLI] 70.50 149.88 	70 30 0 	149 52 48 	OliktokDew,AK
[PAQ] 61.60 149.08 	61 35 59 	149 4 48 	Palmer,AK
[5PX] 63.03 145.50 	63 1 47 	145 30 0 	Paxson,AK
[PSG] 56.82 132.97 	56 49 11 	132 58 12 	Petersburg,AK
[PIZ] 69.82 162.92 	69 49 11 	162 55 11 	PointLay,AK
[Z76] 56.25 134.65 	56 15 0 	134 38 59 	PortAlexndr,AK
[KPC] 65.25 166.87 	65 15 0 	166 52 11 	PortClarnce,AK
[PTH] 56.95 158.62 	56 57 0 	158 37 11 	PortHeiden,AK
[PPC] 66.82 150.65 	66 49 11 	150 38 59 	ProspectCrk,AK
[PUO] 70.25 148.33 	70 15 0 	148 19 48 	PrudhoeBay,AK
[Z30] 60.20 154.30 	60 12 0 	154 18 0 	PtAlsworth,AK
[PTI] 62.17 153.25 	62 10 11 	153 15 0 	Puntilla,AK
[SDP] 55.33 160.50 	55 19 48 	160 30 0 	SandPoint,AK
[5WD] 60.18 149.75 	60 10 48 	149 45 0 	Seward,AK
[SYA] 53.20 174.13 	53 12 0 	174 7 48 	Shemy,AK
[SHH] 66.27 166.03 	66 16 11 	166 1 47 	Shishmaref,AK
[SIT] 57.07 135.35 	57 4 11 	135 21 0 	Sitka,AK
[SKJ] 56.88 154.20 	56 52 48 	154 11 59 	Sitkinak,AK
[SGY] 59.75 135.53 	59 45 0 	135 31 47 	Skagway,AK
[SKW] 61.97 151.20 	61 58 12 	151 11 59 	Skwentna,AK
[5SO] 62.03 146.67 	62 1 47 	146 40 11 	SnowshoeLk,AK
[SNP] 57.15 170.22 	57 9 0 		170 13 12 	StPaulIs,AK
[5GN] 61.90 147.30 	61 54 0 	147 18 0 	TahnetaPass,AK
[TKA] 62.30 150.10 	62 17 59 	150 6 0 	Talkeetna,AK
[TAL] 65.17 152.10 	65 10 11 	152 6 0 	Tanana,AK
